country_code,year,eurostat_production,fao_production,eumofa_production,eurostat_value,fao_value,eumofa_value,ratio_es_fao,ratio_es_eumo,logdiff_es_fao,logdiff_es_eumo,flag_large_gap_fao,flag_large_gap_eumo,notes
CY,2019,108,NA,4,927138,NA,78800,NA,27,4.6913478822291435,3.081909969795043,FALSE,TRUE,"FAO missing, Eurostat present"
CY,2020,71,NA,3,608138,NA,53428,NA,23.666666666666668,4.276666119016055,2.8903717578961645,FALSE,TRUE,"FAO missing, Eurostat present"
CY,2021,112,NA,4,961007,NA,66000,NA,28,4.727387818712341,3.1179499062782403,FALSE,TRUE,"FAO missing, Eurostat present"
CY,2022,139,NA,5,1188216,NA,72432,NA,27.8,4.941642422609304,3.149882953381249,FALSE,TRUE,"FAO missing, Eurostat present"
CY,2023,125,NA,1,1093820,NA,22370,NA,125,4.836281906951478,4.143134726391533,FALSE,TRUE,"FAO missing, Eurostat present"
CZ,2018,43500,NA,20639,97190002,NA,43797000,NA,2.107660254857309,10.680539205318292,0.7455529857227923,FALSE,FALSE,"FAO missing, Eurostat present"
CZ,2019,41978,NA,20050,82473547,NA,38104830,NA,2.0936658354114712,10.644924772223822,0.7388904654211181,FALSE,FALSE,"FAO missing, Eurostat present"
CZ,2020,40804,NA,19685,77886069,NA,35882009,NA,2.0728473456946914,10.616559901903344,0.7288968997141865,FALSE,FALSE,"FAO missing, Eurostat present"
CZ,2021,41982,NA,19919,89123393,NA,40282648,NA,2.107635925498268,10.645020053422533,0.7455405222839442,FALSE,FALSE,"FAO missing, Eurostat present"
CZ,2022,38518,NA,18559,98439920,NA,46271844,NA,2.0754350988738617,10.558906905035101,0.7301428986949094,FALSE,FALSE,"FAO missing, Eurostat present"
CZ,2023,37227,NA,17954,101233551,NA,47488930,NA,2.0734655230032306,10.524816445305602,0.7291925386454192,FALSE,FALSE,"FAO missing, Eurostat present"
CZ,2024,37370,NA,NA,102342779,NA,NA,NA,NA,10.528650281554203,10.528650281554203,FALSE,FALSE,"FAO missing, Eurostat present"
DE,2018,0,NA,7268,0,NA,32999000,NA,0,0,-8.891374009484636,FALSE,FALSE,"FAO missing, Eurostat present"
DE,2019,0,NA,8468,0,NA,36709187,NA,0,0,-9.0441677169216,FALSE,FALSE,"FAO missing, Eurostat present"
DE,2020,0,NA,8276,0,NA,34761999,NA,0,0,-9.021235862885396,FALSE,FALSE,"FAO missing, Eurostat present"
DE,2021,0,NA,7416,0,NA,37073390,NA,0,0,-8.911529941736559,FALSE,FALSE,"FAO missing, Eurostat present"
DE,2022,0,NA,6897,0,NA,38961205,NA,0,0,-8.838986793496787,FALSE,FALSE,"FAO missing, Eurostat present"
DE,2023,0,NA,6887,0,NA,39541060,NA,0,0,-8.837536046107568,FALSE,FALSE,"FAO missing, Eurostat present"
