"country_code","year","eurostat_production","fao_production","eumofa_production","eurostat_value","fao_value","eumofa_value","ratio_es_fao","ratio_es_eumo","logdiff_es_fao","logdiff_es_eumo","flag_large_gap_fao","flag_large_gap_eumo","notes"
"HR",2018,NA,2899,2529,NA,6753526,5378000,NA,NA,NA,NA,FALSE,FALSE,"Eurostat missing, FAO present"
"HR",2019,NA,3100,2728,NA,7099317,5727432,NA,NA,NA,NA,FALSE,FALSE,"Eurostat missing, FAO present"
"HR",2020,NA,2732,2388,NA,6028456,4677074,NA,NA,NA,NA,FALSE,FALSE,"Eurostat missing, FAO present"
"HR",2021,NA,4143,3690,NA,9204773,7547190,NA,NA,NA,NA,FALSE,FALSE,"Eurostat missing, FAO present"
"HR",2022,NA,4117,3693,NA,10606049,8769907,NA,NA,NA,NA,FALSE,FALSE,"Eurostat missing, FAO present"
"HR",2023,NA,3676,3238,NA,13475102,11394220,NA,NA,NA,NA,FALSE,FALSE,"Eurostat missing, FAO present"
"HU",2018,NA,17852,17827,NA,38447654,38467000,NA,NA,NA,NA,FALSE,FALSE,"Eurostat missing, FAO present"
"HU",2019,NA,17283,17239,NA,36041259,35674249,NA,NA,NA,NA,FALSE,FALSE,"Eurostat missing, FAO present"
"HU",2020,NA,18436,22115,NA,35610954,41005875,NA,NA,NA,NA,FALSE,FALSE,"Eurostat missing, FAO present"
"HU",2021,NA,18025,17882,NA,38483582,38258905,NA,NA,NA,NA,FALSE,FALSE,"Eurostat missing, FAO present"
"HU",2022,NA,18557,18646,NA,54304484,53006770,NA,NA,NA,NA,FALSE,FALSE,"Eurostat missing, FAO present"
"HU",2023,NA,17785,17773,NA,61300859,58819110,NA,NA,NA,NA,FALSE,FALSE,"Eurostat missing, FAO present"
"IE",2018,NA,557,NA,NA,1595329,NA,NA,NA,NA,NA,FALSE,FALSE,"Eurostat missing, FAO present"
"IE",2019,NA,608,NA,NA,1677561,NA,NA,NA,NA,NA,FALSE,FALSE,"Eurostat missing, FAO present"
"IE",2020,NA,604,NA,NA,1887695,NA,NA,NA,NA,NA,FALSE,FALSE,"Eurostat missing, FAO present"
"IE",2021,NA,537,NA,NA,1760330,NA,NA,NA,NA,NA,FALSE,FALSE,"Eurostat missing, FAO present"
"IE",2022,NA,398,NA,NA,1234288,NA,NA,NA,NA,NA,FALSE,FALSE,"Eurostat missing, FAO present"
"IE",2023,NA,488,NA,NA,1514624,NA,NA,NA,NA,NA,FALSE,FALSE,"Eurostat missing, FAO present"
"IS",2018,NA,295,NA,NA,1325848,NA,NA,NA,NA,NA,FALSE,FALSE,"Eurostat missing, FAO present"
"IS",2019,NA,299,NA,NA,1230429,NA,NA,NA,NA,NA,FALSE,FALSE,"Eurostat missing, FAO present"
"IS",2020,NA,490,NA,NA,1507304,NA,NA,NA,NA,NA,FALSE,FALSE,"Eurostat missing, FAO present"
"IS",2021,NA,951,NA,NA,4005671,NA,NA,NA,NA,NA,FALSE,FALSE,"Eurostat missing, FAO present"
"IS",2022,NA,1131,NA,NA,5027553,NA,NA,NA,NA,NA,FALSE,FALSE,"Eurostat missing, FAO present"
"IS",2023,NA,441,NA,NA,1872838,NA,NA,NA,NA,NA,FALSE,FALSE,"Eurostat missing, FAO present"
"IT",2018,NA,36728,2477,NA,127299648,19662000,NA,NA,NA,NA,FALSE,FALSE,"Eurostat missing, FAO present"
"IT",2019,NA,41501,2472,NA,142556068,16950529,NA,NA,NA,NA,FALSE,FALSE,"Eurostat missing, FAO present"
"IT",2020,NA,36518,1891,NA,119070198,11600943,NA,NA,NA,NA,FALSE,FALSE,"Eurostat missing, FAO present"
"IT",2021,NA,44285,2285,NA,159056227,15140190,NA,NA,NA,NA,FALSE,FALSE,"Eurostat missing, FAO present"
"IT",2022,NA,32639,2450,NA,117439451,18529700,NA,NA,NA,NA,FALSE,FALSE,"Eurostat missing, FAO present"
"IT",2023,NA,37579,1973,NA,173521362,15898980,NA,NA,NA,NA,FALSE,FALSE,"Eurostat missing, FAO present"
"LT",2018,NA,3744,3339,NA,11878218,10765000,NA,NA,NA,NA,FALSE,FALSE,"Eurostat missing, FAO present"
"LT",2019,NA,4215,3599,NA,12475637,11338369,NA,NA,NA,NA,FALSE,FALSE,"Eurostat missing, FAO present"
"LT",2020,NA,4477,3848,NA,12876898,11510127,NA,NA,NA,NA,FALSE,FALSE,"Eurostat missing, FAO present"
"LT",2021,NA,5135,4686,NA,15110911,14598743,NA,NA,NA,NA,FALSE,FALSE,"Eurostat missing, FAO present"
"LT",2022,NA,4859,4229,NA,19715333,17645056,NA,NA,NA,NA,FALSE,FALSE,"Eurostat missing, FAO present"
"LT",2023,NA,4258,3513,NA,18073212,15539120,NA,NA,NA,NA,FALSE,FALSE,"Eurostat missing, FAO present"
"LV",2018,NA,830,849,NA,1998757,1874000,NA,NA,NA,NA,FALSE,FALSE,"Eurostat missing, FAO present"
"LV",2019,NA,609,578,NA,1657737,1622373,NA,NA,NA,NA,FALSE,FALSE,"Eurostat missing, FAO present"
"LV",2020,NA,717,642,NA,2201288,1781836,NA,NA,NA,NA,FALSE,FALSE,"Eurostat missing, FAO present"
"LV",2021,NA,901,719,NA,3162543,2051767,NA,NA,NA,NA,FALSE,FALSE,"Eurostat missing, FAO present"
"LV",2022,NA,870,755,NA,3305535,2438935,NA,NA,NA,NA,FALSE,FALSE,"Eurostat missing, FAO present"
"LV",2023,NA,784,173,NA,3009566,1038900,NA,NA,NA,NA,FALSE,FALSE,"Eurostat missing, FAO present"
"NL",2018,NA,5015,4620,NA,32393084,26527000,NA,NA,NA,NA,FALSE,FALSE,"Eurostat missing, FAO present"
"NL",2019,NA,5310,5220,NA,29441292,27519909,NA,NA,NA,NA,FALSE,FALSE,"Eurostat missing, FAO present"
"NL",2020,NA,4860,4805,NA,27296889,26467883,NA,NA,NA,NA,FALSE,FALSE,"Eurostat missing, FAO present"
"NL",2021,NA,4820,4400,NA,26569863,23425000,NA,NA,NA,NA,FALSE,FALSE,"Eurostat missing, FAO present"
"NL",2022,NA,4670,4400,NA,25608541,29900800,NA,NA,NA,NA,FALSE,FALSE,"Eurostat missing, FAO present"
"NL",2023,NA,4770,2650,NA,33820370,6651310,NA,NA,NA,NA,FALSE,FALSE,"Eurostat missing, FAO present"
"NO",2018,NA,417,NA,NA,3136002,NA,NA,NA,NA,NA,FALSE,FALSE,"Eurostat missing, FAO present"
"NO",2019,NA,718,NA,NA,4384167,NA,NA,NA,NA,NA,FALSE,FALSE,"Eurostat missing, FAO present"
"NO",2020,NA,634,NA,NA,3844152,NA,NA,NA,NA,NA,FALSE,FALSE,"Eurostat missing, FAO present"
"NO",2021,NA,903,NA,NA,5026735,NA,NA,NA,NA,NA,FALSE,FALSE,"Eurostat missing, FAO present"
"NO",2022,NA,1031,NA,NA,6232096,NA,NA,NA,NA,NA,FALSE,FALSE,"Eurostat missing, FAO present"
"NO",2023,NA,1433,NA,NA,8017071,NA,NA,NA,NA,NA,FALSE,FALSE,"Eurostat missing, FAO present"
"PL",2018,NA,36806,19354,NA,104818808,50747000,NA,NA,NA,NA,FALSE,FALSE,"Eurostat missing, FAO present"
"PL",2019,NA,39731,24268,NA,104159149,57171451,NA,NA,NA,NA,FALSE,FALSE,"Eurostat missing, FAO present"
"PL",2020,NA,45418,23936,NA,121240880,54554807,NA,NA,NA,NA,FALSE,FALSE,"Eurostat missing, FAO present"
"PL",2021,NA,39610,24288,NA,123529412,77883456,NA,NA,NA,NA,FALSE,FALSE,"Eurostat missing, FAO present"
"PL",2022,NA,42201,19834,NA,185902438,90333025,NA,NA,NA,NA,FALSE,FALSE,"Eurostat missing, FAO present"
"PL",2023,NA,40667,21178,NA,185724551,101582700,NA,NA,NA,NA,FALSE,FALSE,"Eurostat missing, FAO present"
"PT",2018,NA,697,12,NA,2331632,121000,NA,NA,NA,NA,FALSE,FALSE,"Eurostat missing, FAO present"
"PT",2019,NA,665,1,NA,2003450,8870,NA,NA,NA,NA,FALSE,FALSE,"Eurostat missing, FAO present"
"PT",2020,NA,914,0,NA,2685738,1102,NA,NA,NA,NA,FALSE,FALSE,"Eurostat missing, FAO present"
"PT",2021,NA,867,0,NA,4984835,838,NA,NA,NA,NA,FALSE,FALSE,"Eurostat missing, FAO present"
"PT",2022,NA,423,0,NA,1398995,9418,NA,NA,NA,NA,FALSE,FALSE,"Eurostat missing, FAO present"
"PT",2023,NA,317,1,NA,1184749,10000,NA,NA,NA,NA,FALSE,FALSE,"Eurostat missing, FAO present"
"RO",2018,NA,12298,9826,NA,30648544,24954000,NA,NA,NA,NA,FALSE,FALSE,"Eurostat missing, FAO present"
"RO",2019,NA,12848,10091,NA,31861870,27861042,NA,NA,NA,NA,FALSE,FALSE,"Eurostat missing, FAO present"
"RO",2020,NA,12371,9442,NA,39335532,27893432,NA,NA,NA,NA,FALSE,FALSE,"Eurostat missing, FAO present"
"RO",2021,NA,11714,8967,NA,36587679,24696739,NA,NA,NA,NA,FALSE,FALSE,"Eurostat missing, FAO present"
"RO",2022,NA,11211,8105,NA,36065959,24820229,NA,NA,NA,NA,FALSE,FALSE,"Eurostat missing, FAO present"
"RO",2023,NA,11264,7735,NA,37456631,26587640,NA,NA,NA,NA,FALSE,FALSE,"Eurostat missing, FAO present"
"SE",2018,NA,8239,99,NA,36117260,676000,NA,NA,NA,NA,FALSE,FALSE,"Eurostat missing, FAO present"
"SE",2019,NA,8084,163,NA,28264134,920679,NA,NA,NA,NA,FALSE,FALSE,"Eurostat missing, FAO present"
"SE",2020,NA,8690,93,NA,29684045,587193,NA,NA,NA,NA,FALSE,FALSE,"Eurostat missing, FAO present"
"SE",2021,NA,11303,93,NA,39880458,611051,NA,NA,NA,NA,FALSE,FALSE,"Eurostat missing, FAO present"
"SE",2022,NA,8981,1431,NA,55032205,10345899,NA,NA,NA,NA,FALSE,FALSE,"Eurostat missing, FAO present"
"SE",2023,NA,9154,1274,NA,43024287,8713410,NA,NA,NA,NA,FALSE,FALSE,"Eurostat missing, FAO present"
"SI",2018,NA,1254,121,NA,5198254,336000,NA,NA,NA,NA,FALSE,FALSE,"Eurostat missing, FAO present"
